0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,86,157,13,256.0
TPS 002,218,26,2,246.0
TPS 003,0,0,0,0.0
TPS 004,0,0,0,0.0
TPS 005,0,0,0,0.0
TPS 006,0,0,0,0.0
TPS 007,0,0,0,0.0
TPS 008,0,0,0,0.0
TPS 009,0,0,0,0.0
TPS 010,0,0,0,0.0
TPS 011,0,0,0,0.0
TPS 012,0,0,0,0.0
TPS 013,0,0,0,0.0
TPS 014,0,0,0,0.0
TPS 015,0,0,0,0.0
TPS 016,0,0,0,0.0
TPS 017,29,184,25,238.0
TPS 018,0,0,0,0.0
TPS 019,0,0,0,0.0
TPS 020,0,0,0,0.0
TPS 021,0,0,0,0.0
TPS 022,70,745,28,843.0
TPS 023,0,0,0,0.0
TPS 024,0,0,0,0.0
TPS 025,0,0,0,0.0
TPS 026,0,0,0,0.0
TPS 027,0,0,0,0.0
TPS 028,0,0,0,0.0
TPS 029,0,0,0,0.0
TPS 030,0,0,0,0.0
TPS 031,0,0,0,0.0
TPS 032,0,0,0,0.0
TPS 033,0,0,0,0.0
TPS 034,0,0,0,0.0
TPS 035,0,0,0,0.0
TPS 036,0,0,0,0.0
TPS 037,0,0,0,0.0
TPS 038,0,0,0,0.0
TPS 039,0,0,0,0.0
TPS 040,0,0,0,0.0
